school_name,address,postal_code,full_address,latitude,longitude,dgp_code,zone_code
QUEENSTOWN PRIMARY SCHOOL,310  MARGARET DR,149303,310  MARGARET DR 149303,1.2958718,103.8076794,QUEENSTOWN,SOUTH
QUEENSTOWN SECONDARY SCHOOL,1    STRATHMORE ROAD,148800,1    STRATHMORE ROAD 148800,1.2938664,103.8132036,QUEENSTOWN,SOUTH
QUEENSWAY SECONDARY SCHOOL,2A   MARGARET DRIVE,149295,2A   MARGARET DRIVE 149295,1.3005119,103.8019743,QUEENSTOWN,SOUTH
RADIN MAS PRIMARY SCHOOL,1    BUKIT PURMEI AVENUE,99840,1    BUKIT PURMEI AVENUE 99840,1.275094,103.8240741,BUKIT MERAH,SOUTH
RAFFLES GIRLS' PRIMARY SCHOOL,21   Hillcrest Road,289072,21   Hillcrest Road 289072,1.3300863,103.8068785,BUKIT TIMAH,SOUTH
RAFFLES GIRLS' SCHOOL (SECONDARY),2    BRADDELL RISE,318871,2    BRADDELL RISE 318871,1.3431522,103.8437425,CENTRAL,SOUTH
RAFFLES INSTITUTION,1    RAFFLES INSTITUTION LANE,575954,1    RAFFLES INSTITUTION LANE 575954,1.3466384,103.8432556,BISHAN,SOUTH
RED SWASTIKA SCHOOL,350  BEDOK NORTH AVENUE 3,469719,350  BEDOK NORTH AVENUE 3 469719,1.3332677,103.9346109,BEDOK,EAST
REGENT SECONDARY SCHOOL,50   CHOA CHU KANG NORTH 5,689621,50   CHOA CHU KANG NORTH 5 689621,1.393079,103.750966,CHOA CHU KANG,WEST
RIVER VALLEY HIGH SCHOOL,6    BOON LAY AVENUE,649961,6    BOON LAY AVENUE 649961,1.3431764,103.709695,JURONG WEST,WEST
RIVER VALLEY PRIMARY SCHOOL,2    RIVER VALLEY GREEN,237993,2    RIVER VALLEY GREEN 237993,1.2938988,103.8362883,CENTRAL,SOUTH
RIVERSIDE PRIMARY SCHOOL,110  Woodlands Crescent,737803,110  Woodlands Crescent 737803,1.4472565,103.8017548,WOODLANDS,NORTH
RIVERSIDE SECONDARY SCHOOL,3    WOODLANDS STREET 81,738524,3    WOODLANDS STREET 81 738524,1.4404834,103.788591,WOODLANDS,NORTH
RIVERVALE PRIMARY SCHOOL,80   RIVERVALE DRIVE,545092,80   RIVERVALE DRIVE 545092,1.393196,103.904383,SENG KANG,NORTH
ROSYTH SCHOOL,21   Serangoon North Avenue 4,555855,21   Serangoon North Avenue 4 555855,1.3729334,103.8748903,SERANGOON,NORTH
RULANG PRIMARY SCHOOL,6    JURONG WEST STREET 52,649295,6    JURONG WEST STREET 52 649295,1.3460661,103.7188844,JURONG WEST,WEST
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1    Technology Drive,138572,1    Technology Drive 138572,1.3130678,103.7738353,CLEMENTI,WEST
"SCHOOL OF THE ARTS, SINGAPORE",1    Zubir Said Drive,227968,1    Zubir Said Drive 227968,1.299447,103.848618,CENTRAL,SOUTH
SEMBAWANG PRIMARY SCHOOL,10   SEMBAWANG DRIVE,757715,10   SEMBAWANG DRIVE 757715,1.4454915,103.8211733,SEMBAWANG,NORTH
SEMBAWANG SECONDARY SCHOOL,30   SEMBAWANG CRESCENT,757704,30   SEMBAWANG CRESCENT 757704,1.4459577,103.8170072,SEMBAWANG,NORTH
SENG KANG PRIMARY SCHOOL,21   COMPASSVALE WALK,545166,21   COMPASSVALE WALK 545166,1.389086,103.899471,SENG KANG,NORTH
SENG KANG SECONDARY SCHOOL,10   COMPASSVALE LANE,545090,10   COMPASSVALE LANE 545090,1.386517,103.897892,SENG KANG,NORTH
SENGKANG GREEN PRIMARY SCHOOL,15   Fernvale Road,797636,15   Fernvale Road 797636,1.392548,103.8753898,SENG KANG,EAST
SERANGOON GARDEN SECONDARY SCHOOL,21   SERANGOON NORTH AVENUE 1,555889,21   SERANGOON NORTH AVENUE 1 555889,1.36967,103.868983,SERANGOON,SOUTH
SERANGOON SECONDARY SCHOOL,11   UPPER SERANGOON VIEW,534237,11   UPPER SERANGOON VIEW 534237,1.3748927,103.9022635,HOUGANG,NORTH
SHUQUN PRIMARY SCHOOL,8    JURONG WEST STREET 51,649332,8    JURONG WEST STREET 51 649332,1.347595,103.7215779,JURONG WEST,WEST
SI LING PRIMARY SCHOOL,61   WOODLANDS AVENUE 1,739067,61   WOODLANDS AVENUE 1 739067,1.432693,103.78577,WOODLANDS,NORTH
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190  DUNEARN ROAD,309437,190  DUNEARN ROAD 309437,1.3212164,103.8283283,NOVENA,NORTH
SINGAPORE CHINESE GIRLS' SCHOOL,190  DUNEARN ROAD,309437,190  DUNEARN ROAD 309437,1.3212164,103.8283283,NOVENA,NORTH
SINGAPORE SPORTS SCHOOL,1    Champions Way,737913,1    Champions Way 737913,1.426703,103.789056,WOODLANDS,NORTH
SOUTH VIEW PRIMARY SCHOOL,6    Choa Chu Kang Central,689762,6    Choa Chu Kang Central 689762,1.381324,103.747145,CHOA CHU KANG,WEST
SPECTRA SECONDARY SCHOOL,1    WOODLANDS DRIVE 64,737758,1    WOODLANDS DRIVE 64 737758,1.4364557,103.8043789,WOODLANDS,NORTH
SPRINGDALE PRIMARY SCHOOL,71   Anchorvale Link,544799,71   Anchorvale Link 544799,1.3949665,103.8897326,SENG KANG,EAST
SPRINGFIELD SECONDARY SCHOOL,30   TAMPINES AVENUE 8,529593,30   TAMPINES AVENUE 8 529593,1.3498342,103.9300788,TAMPINES,EAST
ST. ANDREW'S JUNIOR COLLEGE,5    Sorby Adams Drive,357691,5    Sorby Adams Drive 357691,1.3331921,103.8630452,TOA PAYOH,SOUTH
ST. ANDREW'S JUNIOR SCHOOL,2    FRANCIS THOMAS DRIVE,359337,2    FRANCIS THOMAS DRIVE 359337,1.331468,103.8652089,TOA PAYOH,SOUTH
ST. ANDREW'S SECONDARY SCHOOL,15   FRANCIS THOMAS DRIVE,359342,15   FRANCIS THOMAS DRIVE 359342,1.3315512,103.8657679,TOA PAYOH,SOUTH
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4,469701,1602 BEDOK NORTH AVE 4 469701,1.334282,103.941072,BEDOK,EAST
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,1600 BEDOK NORTH AVENUE 4,469700,1600 BEDOK NORTH AVENUE 4 469700,1.3346733,103.9419424,BEDOK,EAST
ST. ANTHONY'S PRIMARY SCHOOL,30   Bukit Batok St 32,659401,30   Bukit Batok St 32 659401,1.3642757,103.7490186,BUKIT BATOK,WEST
ST. GABRIEL'S PRIMARY SCHOOL,220  Lorong Chuan,556742,220  Lorong Chuan 556742,1.3497182,103.8620253,SERANGOON,SOUTH
ST. GABRIEL'S SECONDARY SCHOOL,24   SERANGOON AVENUE 1,556140,24   SERANGOON AVENUE 1 556140,1.3465641,103.8756152,SERANGOON,SOUTH
ST. HILDA'S PRIMARY SCHOOL,2    Tampines Ave 3,529706,2    Tampines Ave 3 529706,1.3492104,103.936605,TAMPINES,EAST
ST. HILDA'S SECONDARY SCHOOL,2    TAMPINES STREET 82,528986,2    TAMPINES STREET 82 528986,1.3504543,103.9366957,TAMPINES,EAST
ST. JOSEPH'S INSTITUTION,38   MALCOLM ROAD,308274,38   MALCOLM ROAD 308274,1.3229154,103.8285918,NOVENA,SOUTH
ST. JOSEPH'S INSTITUTION JUNIOR,3    ESSEX ROAD,309331,3    ESSEX ROAD 309331,1.317458,103.8459004,NOVENA,SOUTH
ST. MARGARET'S PRIMARY SCHOOL,2    MATTAR ROAD,387724,2    MATTAR ROAD 387724,1.3246436,103.881867,CENTRAL,SOUTH
ST. MARGARET'S SECONDARY SCHOOL,111  FARRER ROAD,259240,111  FARRER ROAD 259240,1.3198595,103.8094906,BUKIT TIMAH,SOUTH
ST. PATRICK'S SCHOOL,490  EAST COAST ROAD,429058,490  EAST COAST ROAD 429058,1.3088628,103.9169367,BEDOK,EAST
ST. STEPHEN'S SCHOOL,20   SIGLAP VIEW,455789,20   SIGLAP VIEW 455789,1.3188814,103.9175727,BEDOK,EAST
STAMFORD PRIMARY SCHOOL,1    VICTORIA LANE,198423,1    VICTORIA LANE 198423,1.304116,103.8572692,CENTRAL,SOUTH
SWISS COTTAGE SECONDARY SCHOOL,3    BUKIT BATOK STREET 34,659322,3    BUKIT BATOK STREET 34 659322,1.3646741,103.7506409,BUKIT BATOK,WEST
TAMPINES MERIDIAN JUNIOR COLLEGE,21   Pasir Ris Street 71,518799,21   Pasir Ris Street 71 518799,1.3766538,103.9372656,PASIR RIS,EAST
TAMPINES NORTH PRIMARY SCHOOL,30   TAMPINES AVENUE 9,529565,30   TAMPINES AVENUE 9 529565,1.360298,103.948581,TAMPINES,EAST
TAMPINES PRIMARY SCHOOL,250  TAMPINES STREET 12,529426,250  TAMPINES STREET 12 529426,1.349774,103.94402,TAMPINES,EAST
TAMPINES SECONDARY SCHOOL,252  TAMPINES ST 12,529427,252  TAMPINES ST 12 529427,1.3498263,103.9439474,TAMPINES,EAST
TANGLIN SECONDARY SCHOOL,301  WEST COAST ROAD,127391,301  WEST COAST ROAD 127391,1.3096831,103.7581531,CLEMENTI,SOUTH
TANJONG KATONG GIRLS' SCHOOL,20   Dunman Lane,439272,20   Dunman Lane 439272,1.308631,103.895897,MARINE PARADE,EAST
TANJONG KATONG PRIMARY SCHOOL,860  NEW UPPER CHANGI ROAD,467353,860  NEW UPPER CHANGI ROAD 467353,1.3243906,103.9388712,MARINE PARADE,EAST
TANJONG KATONG SECONDARY SCHOOL,130  HAIG ROAD,438796,130  HAIG ROAD 438796,1.3086279,103.897257,MARINE PARADE,EAST
TAO NAN SCHOOL,49   MARINE CRESCENT,449761,49   MARINE CRESCENT 449761,1.3049455,103.9113177,MARINE PARADE,EAST
TECK GHEE PRIMARY SCHOOL,1    ANG MO KIO STREET 32,569299,1    ANG MO KIO STREET 32 569299,1.3653954,103.8506032,ANG MO KIO,SOUTH
TECK WHYE PRIMARY SCHOOL,11   TECK WHYE WALK,688261,11   TECK WHYE WALK 688261,1.383126,103.753548,CHOA CHU KANG,WEST
TECK WHYE SECONDARY SCHOOL,31   TECK WHYE CRESCENT,688848,31   TECK WHYE CRESCENT 688848,1.382536,103.755214,CHOA CHU KANG,WEST
TELOK KURAU PRIMARY SCHOOL,50   BEDOK RESERVOIR RD,479239,50   BEDOK RESERVOIR RD 479239,1.3309135,103.9114083,BEDOK,EAST
TEMASEK JUNIOR COLLEGE,22   BEDOK SOUTH ROAD,469278,22   BEDOK SOUTH ROAD 469278,1.3189246,103.9355622,BEDOK,EAST
TEMASEK PRIMARY SCHOOL,501  BEDOK SOUTH AVE 3,469300,501  BEDOK SOUTH AVE 3 469300,1.317502,103.945488,BEDOK,EAST
TEMASEK SECONDARY SCHOOL,600  UPPER EAST COAST ROAD,465561,600  UPPER EAST COAST ROAD 465561,1.3157589,103.9471669,BEDOK,EAST
TOWNSVILLE PRIMARY SCHOOL,3    ANG MO KIO AVE 10,569730,3    ANG MO KIO AVE 10 569730,1.3600534,103.8537829,ANG MO KIO,SOUTH
UNITY PRIMARY SCHOOL,21   CHOA CHU KANG CRESCENT,688268,21   CHOA CHU KANG CRESCENT 688268,1.403245,103.74729,CHOA CHU KANG,WEST
UNITY SECONDARY SCHOOL,20   CHOA CHU KANG STREET 62,689143,20   CHOA CHU KANG STREET 62 689143,1.4000286,103.7461254,CHOA CHU KANG,WEST
VALOUR PRIMARY SCHOOL,52   Sumang Walk,828674,52   Sumang Walk 828674,1.4116904,103.89861,PUNGGOL,EAST
VICTORIA JUNIOR COLLEGE,20   MARINE VISTA,449035,20   MARINE VISTA 449035,1.306142,103.919825,BEDOK,EAST
VICTORIA SCHOOL,2    SIGLAP LINK,448880,2    SIGLAP LINK 448880,1.3085839,103.9275012,BEDOK,EAST
WATERWAY PRIMARY SCHOOL,70   Punggol Drive,828802,70   Punggol Drive 828802,1.3991315,103.9186176,PUNGGOL,EAST
WELLINGTON PRIMARY SCHOOL,10   WELLINGTON CIRCLE,757702,10   WELLINGTON CIRCLE 757702,1.4519448,103.8222601,SEMBAWANG,NORTH
WEST GROVE PRIMARY SCHOOL,1    JURONG WEST ST 72,649223,1    JURONG WEST ST 72 649223,1.34455,103.698987,JURONG WEST,WEST
WEST SPRING PRIMARY SCHOOL,60   Bukit Panjang Ring Road,679946,60   Bukit Panjang Ring Road 679946,1.3895049,103.7652356,BUKIT PANJANG,WEST
WEST SPRING SECONDARY SCHOOL,61   SENJA  ROAD,677737,61   SENJA  ROAD 677737,1.387707,103.760018,BUKIT PANJANG,WEST
WEST VIEW PRIMARY SCHOOL,31   SENJA ROAD,677742,31   SENJA ROAD 677742,1.3835817,103.759692,BUKIT PANJANG,WEST
WESTWOOD PRIMARY SCHOOL,1    Jurong West Street 73,649188,1    Jurong West Street 73 649188,1.3475751,103.7003201,JURONG WEST,WEST
WESTWOOD SECONDARY SCHOOL,11   JURONG WEST STREET 25,648350,11   JURONG WEST STREET 25 648350,1.3537852,103.7017788,JURONG WEST,WEST
WHITE SANDS PRIMARY SCHOOL,2    PASIR RIS ST 11,519075,2    PASIR RIS ST 11 519075,1.3649338,103.9612985,PASIR RIS,EAST
WHITLEY SECONDARY SCHOOL,30   BISHAN STREET 24,579747,30   BISHAN STREET 24 579747,1.3554562,103.8432486,BISHAN,SOUTH
WOODGROVE PRIMARY SCHOOL,2    WOODLANDS DRIVE 14,738079,2    WOODLANDS DRIVE 14 738079,1.4331667,103.7904291,WOODLANDS,NORTH
WOODGROVE SECONDARY SCHOOL,3    WOODLANDS AVENUE 6,738990,3    WOODLANDS AVENUE 6 738990,1.428854,103.7975162,WOODLANDS,NORTH
WOODLANDS PRIMARY SCHOOL,10   WOODLANDS DRIVE 50,738853,10   WOODLANDS DRIVE 50 738853,1.436771,103.791794,WOODLANDS,NORTH
WOODLANDS RING PRIMARY SCHOOL,11   WOODLANDS RING ROAD,738240,11   WOODLANDS RING ROAD 738240,1.434839,103.797928,WOODLANDS,NORTH
WOODLANDS RING SECONDARY SCHOOL,10   WOODLANDS RING ROAD,738239,10   WOODLANDS RING ROAD 738239,1.4364147,103.8007288,WOODLANDS,NORTH
WOODLANDS SECONDARY SCHOOL,11   MARSILING ROAD,739111,11   MARSILING ROAD 739111,1.439565,103.774208,WOODLANDS,NORTH
XINGHUA PRIMARY SCHOOL,45   HOUGANG AVENUE 1,538882,45   HOUGANG AVENUE 1 538882,1.3578717,103.8901506,HOUGANG,SOUTH
XINGNAN PRIMARY SCHOOL,5    JURONG WEST STREET 91,649036,5    JURONG WEST STREET 91 649036,1.34283,103.68778,JURONG WEST,WEST
XINMIN PRIMARY SCHOOL,9    HOUGANG AVENUE 8,538784,9    HOUGANG AVENUE 8 538784,1.371069,103.8830289,HOUGANG,NORTH
XINMIN SECONDARY SCHOOL,11   HOUGANG AVENUE 8,538789,11   HOUGANG AVENUE 8 538789,1.372635,103.883077,HOUGANG,NORTH
XISHAN PRIMARY SCHOOL,8    YISHUN STREET 21,768611,8    YISHUN STREET 21 768611,1.4334989,103.8378387,YISHUN,NORTH
YANGZHENG PRIMARY SCHOOL,15   SERANGOON AVENUE 3,556108,15   SERANGOON AVENUE 3 556108,1.3488764,103.8682765,SERANGOON,SOUTH
YEW TEE PRIMARY SCHOOL,10   CHOA CHU KANG ST 64,689100,10   CHOA CHU KANG ST 64 689100,1.396985,103.751221,CHOA CHU KANG,WEST
YIO CHU KANG PRIMARY SCHOOL,1    HOUGANG STREET 51,538720,1    HOUGANG STREET 51 538720,1.3777919,103.885447,HOUGANG,NORTH
YIO CHU KANG SECONDARY SCHOOL,3063 ANG MO KIO AVENUE 5,569868,3063 ANG MO KIO AVENUE 5 569868,1.377635,103.842103,ANG MO KIO,SOUTH
YISHUN INNOVA JUNIOR COLLEGE,3    YISHUN RING ROAD,768675,3    YISHUN RING ROAD 768675,1.4229008,103.8314201,YISHUN,NORTH
YISHUN PRIMARY SCHOOL,500  YISHUN RING ROAD,768679,500  YISHUN RING ROAD 768679,1.4334484,103.834125,YISHUN,NORTH
YISHUN SECONDARY SCHOOL,4    YISHUN STREET 71,768516,4    YISHUN STREET 71 768516,1.428129,103.828833,YISHUN,NORTH
YISHUN TOWN SECONDARY SCHOOL,6    YISHUN STREET 21,768610,6    YISHUN STREET 21 768610,1.4325411,103.8384727,YISHUN,NORTH
YU NENG PRIMARY SCHOOL,56   BEDOK NORTH ST 3,469623,56   BEDOK NORTH ST 3 469623,1.3338657,103.9324355,na,na
YUAN CHING SECONDARY SCHOOL,103  YUAN CHING ROAD,618654,103  YUAN CHING ROAD 618654,1.341917,103.720994,JURONG WEST,WEST
YUHUA PRIMARY SCHOOL,158  JURONG EAST STREET 24,609558,158  JURONG EAST STREET 24 609558,1.3428019,103.7406829,JURONG EAST,WEST
YUHUA SECONDARY SCHOOL,35   JURONG WEST STREET 41,649406,35   JURONG WEST STREET 41 649406,1.347026,103.722405,JURONG WEST,WEST
YUMIN PRIMARY SCHOOL,3    TAMPINES STREET 21,529393,3    TAMPINES STREET 21 529393,1.3514701,103.9507462,TAMPINES,EAST
YUSOF ISHAK SECONDARY SCHOOL,11   BUKIT BATOK STREET 25,658712,11   BUKIT BATOK STREET 25 658712,1.342423,103.760309,BUKIT BATOK,WEST
YUYING SECONDARY SCHOOL,47   HOUGANG AVENUE 1,538884,47   HOUGANG AVENUE 1 538884,1.3572435,103.8900219,HOUGANG,SOUTH
ZHANGDE PRIMARY SCHOOL,51   Jalan Membina,169485,51   Jalan Membina 169485,1.2843455,103.8260335,BUKIT MERAH,SOUTH
ZHENGHUA PRIMARY SCHOOL,9    Fajar Road,679002,9    Fajar Road 679002,1.37957,103.769301,BUKIT PANJANG,WEST
ZHENGHUA SECONDARY SCHOOL,91   SENJA ROAD,677741,91   SENJA ROAD 677741,1.388271,103.764939,BUKIT PANJANG,WEST
ZHONGHUA PRIMARY SCHOOL,12   SERANGOON AVENUE 4,556095,12   SERANGOON AVENUE 4 556095,1.359895,103.869558,SERANGOON,SOUTH
ZHONGHUA SECONDARY SCHOOL,13   SERANGOON AVENUE 3,556123,13   SERANGOON AVENUE 3 556123,1.3486472,103.869512,SERANGOON,SOUTH
